game_id,date,y,margin,total,p_sim,m_sim,t_sim,p_elo,p_const,margin_sd_sim,total_sd_sim
espn:401810927,2026-03-27,1.0,6.0,264.0,0.697,6.83525,243.37425,0.9261066242462247,0.55,13.452457301084438,20.921058456433318
espn:401810928,2026-03-27,1.0,5.0,257.0,0.646,4.89175,236.22225,0.7936813969716906,0.55,13.603070680456675,21.274312090817414
espn:401810929,2026-03-27,0.0,-7.0,193.0,0.62925,4.41325,234.74075,0.823106783869312,0.55,13.672123991446977,20.176373297436285
espn:401810930,2026-03-27,1.0,17.0,215.0,0.75775,9.22775,230.83225,0.9516827604619377,0.55,13.177115767022007,20.23719619753438
espn:401810931,2026-03-28,0.0,-32.0,222.0,0.2665,-8.6795,235.7715,0.07988663442077759,0.55,13.78376870634443,20.852236996303297
espn:401810932,2026-03-28,0.0,-4.0,232.0,0.67,5.713,233.1805,0.78634161116716,0.55,13.458496609948675,20.734872069776557
espn:401810933,2026-03-28,1.0,10.0,236.0,0.726,7.71675,232.60625,0.8934171890295077,0.55,13.195757630295427,20.693494410985785
espn:401810934,2026-03-28,1.0,1.0,249.0,0.465,-1.26275,234.54625,0.3709154022415232,0.55,13.730357331020196,21.257771777340633
espn:401810935,2026-03-28,0.0,-22.0,196.0,0.4505,-1.5285,231.7955,0.47591947879440616,0.55,13.203889114575295,20.642872371595963
espn:401810936,2026-03-28,1.0,25.0,243.0,0.6715,6.07825,231.92375,0.8761803633385323,0.55,13.404686752680943,20.47657041443952
espn:401810937,2026-03-29,0.0,-14.0,240.0,0.2725,-7.9475,230.23,0.2278436877145147,0.55,13.168684207239538,20.528153838082957
espn:401810938,2026-03-29,1.0,17.0,253.0,0.386,-3.9755,241.408,0.14080668430450566,0.55,13.873388185659621,21.466369884076812
espn:401810939,2026-03-29,1.0,17.0,215.0,0.538,1.3625,226.7565,0.48599630511449615,0.55,13.328000365771304,19.99356665905311
espn:401810940,2026-03-29,0.0,-15.0,213.0,0.51425,0.3105,223.0825,0.5703641280052112,0.55,13.375951919396242,20.394991879135425
espn:401810941,2026-03-29,1.0,52.0,226.0,0.5245,0.8465,233.9375,0.5914011416378624,0.55,13.481726067162173,20.25605079352834
espn:401810942,2026-03-29,1.0,35.0,211.0,0.67675,6.201,234.296,0.8518419675378085,0.55,13.388599590696558,20.62416989844682
espn:401810943,2026-03-29,0.0,-32.0,236.0,0.48675,-0.3775,231.159,0.4682323695581337,0.55,13.194089349022915,20.55354516865643
espn:401810944,2026-03-29,1.0,11.0,211.0,0.56375,1.96925,230.66475,0.7019345507225268,0.55,13.673342840633376,20.62028994552453
espn:401810945,2026-03-29,1.0,23.0,209.0,0.63925,4.782,239.7855,0.8180210319161436,0.55,13.707752405117333,21.354601137693955
espn:401810946,2026-03-30,1.0,10.0,228.0,0.50625,0.26275,236.05175,0.4969804439867122,0.55,13.592193069460867,21.09533294208698
espn:401810947,2026-03-30,1.0,10.0,214.0,0.541,1.39425,225.77875,0.43728774246360336,0.55,13.59219691357876,20.716051709664658
espn:401810948,2026-03-30,0.0,-26.0,236.0,0.4105,-3.16475,234.66125,0.26847074880984284,0.55,13.684173611785988,20.961965519423504
espn:401810949,2026-03-30,1.0,15.0,243.0,0.7325,8.37375,241.19175,0.9316227113496165,0.55,13.96261296955194,20.659549412741317
espn:401810950,2026-03-30,0.0,-30.0,218.0,0.42475,-2.6285,233.9745,0.2831403137770912,0.55,13.336809504150533,20.5344064864315
espn:401810951,2026-03-30,0.0,-9.0,235.0,0.32375,-6.29775,242.37675,0.12131724982205525,0.55,13.67331689596566,20.789764535402995
